[0 0 2]
[0 0 4]
[0 0 5]
[0 0 7]
[0 0 9]
[0 1 0]
[0 1 2]
[0 1 3]
[0 1 4]
[0 1 5]
[0 1 6]
[0 1 7]
[0 2 0]
[0 2 1]
[0 2 2]
[0 2 3]
[0 2 4]
[0 2 5]
[0 2 7]
[0 3 0]
[0 3 1]
[0 3 2]
[0 3 3]
[0 3 4]
[0 3 8]
[0 4 0]
[0 4 1]
[0 4 2]
[0 4 3]
[0 4 5]
[0 4 7]
[0 5 0]
[0 5 1]
[0 5 2]
[0 5 3]
[0 5 4]
[0 5 5]
[0 6 0]
[0 6 1]
[0 6 2]
[0 6 4]
[0 6 6]
[0 7 0]
[0 8 0]
[0 9 0]
[ 0 10  0]
[ 0 11  0]
[ 0 12  0]
[ 0 13  0]
[ 0 14  0]
[ 0 15  0]
[ 0 16  0]
[ 0 17  0]
[ 0 18  0]
[ 0 19  0]
[ 0 20  0]
[ 0 21  0]
[ 0 22  0]
[ 0 23  0]
[ 0 24  0]
[ 0 25  0]
[ 0 26  0]
[ 0 27  0]
[ 0 28  0]
[ 0 29  0]
[ 0 30  0]
[ 0 31  0]
[ 0 32  0]
[ 0 33  0]
[ 0 34  0]
[ 0 35  0]
[ 0 36  0]
[ 0 37  0]
[ 0 38  0]
[ 0 39  0]
[ 0 40  0]
[ 0 41  0]
[ 0 42  0]
[ 0 43  0]
[ 0 44  0]
[ 0 45  0]
[ 0 46  0]
[ 0 47  0]
[ 0 48  0]
[ 0 49  0]
[ 0 50  0]
[ 0 51  0]
[ 0 52  0]
[ 0 53  0]
[ 0 54  0]
[ 0 55  0]
[ 0 56  0]
[ 0 57  0]
[ 0 58  0]
[ 0 59  0]
[ 0 60  0]
[ 0 61  0]
[ 0 62  0]
[ 0 63  0]
[ 0 65  0]
[ 0 66  0]
[  0 246   0]
[  0 248   0]
[  0 248   2]
[  0 249   0]
[  0 249   1]
[  0 250   0]
[  0 250   1]
[  0 250   2]
[  0 250   3]
[  0 250   4]
[  0 250   5]
[  0 251   0]
[  0 251   1]
[  0 251   2]
[  0 251   3]
[  0 252   0]
[  0 252   1]
[  0 252   2]
[  0 252   3]
[  0 252   4]
[  0 252   7]
[  0 253   0]
[  0 253   1]
[  0 253   2]
[  0 253   3]
[  0 253   4]
[  0 253   5]
[  0 254   0]
[  0 254   1]
[  0 254   2]
[  0 254   3]
[  0 254   4]
[  0 254   5]
[  0 254   6]
[  0 254   7]
[  0 254   8]
[  0 254  10]
[  0 255   0]
[  0 255   1]
[  0 255   2]
[  0 255   3]
[  0 255   4]
[  0 255   5]
[  0 255   6]
[  0 255   7]
[  0 255   8]
[  0 255   9]
[1 0 0]
[1 0 2]
[1 0 4]
[1 0 5]
[1 0 6]
[1 0 7]
[1 0 8]
[1 0 9]
[1 1 0]
[1 1 1]
[1 1 3]
[1 1 9]
[1 2 0]
[1 2 4]
[1 2 6]
[1 2 7]
[1 3 0]
[1 3 2]
[1 4 0]
[1 5 6]
[1 6 0]
[1 6 2]
[1 7 0]
[  1 242   5]
[  1 245   0]
[  1 246   5]
[  1 247   0]
[  1 248   0]
[  1 248   7]
[  1 249   2]
[  1 249   5]
[  1 250   0]
[  1 251   0]
[  1 251   3]
[  1 252   0]
[  1 252   1]
[  1 253   0]
[  1 253   8]
[  1 253  10]
[  1 254   3]
[  1 254   5]
[  1 254   6]
[  1 255   0]
[  1 255   1]
[  1 255   2]
[  1 255   3]
[  1 255   4]
[  1 255   5]
[  1 255   6]
[  1 255   7]
[  1 255   8]
[  1 255   9]
[2 0 1]
[2 0 3]
[2 0 5]
[2 0 6]
[2 0 8]
[ 2  0 10]
[ 2  0 11]
[2 1 0]
[2 1 6]
[2 1 7]
[2 1 9]
[2 2 0]
[2 2 2]
[2 2 4]
[2 3 0]
[2 3 5]
[2 3 7]
[2 3 8]
[2 4 0]
[2 4 1]
[2 4 3]
[2 5 0]
[2 6 9]
[2 7 3]
[2 8 8]
[  2 245   5]
[  2 247   2]
[  2 248   0]
[  2 248   1]
[  2 249   8]
[  2 249  12]
[  2 250   3]
[  2 250   4]
[  2 250   6]
[  2 251   0]
[  2 251   1]
[  2 252   0]
[  2 252   4]
[  2 252   5]
[  2 252   7]
[  2 253   0]
[  2 253   2]
[  2 254   0]
[  2 254   9]
[  2 255   0]
[  2 255   1]
[  2 255   2]
[  2 255   3]
[  2 255   4]
[  2 255   5]
[  2 255   6]
[  2 255   7]
[  2 255   8]
[  2 255   9]
[  2 255  10]
[  2 255  11]
[3 0 0]
[3 0 2]
[3 0 4]
[3 0 5]
[3 0 7]
[3 0 9]
[3 1 2]
[3 1 4]
[3 1 6]
[ 3  1 12]
[3 2 0]
[3 2 7]
[3 2 8]
[3 3 0]
[3 3 1]
[3 3 3]
[3 3 5]
[3 4 0]
[3 4 6]
[3 4 8]
[3 4 9]
[3 5 0]
[3 5 2]
[3 5 4]
[  3 244   5]
[  3 245   1]
[  3 247   9]
[  3 248   3]
[  3 248   5]
[  3 249   2]
[  3 250   9]
[  3 251   4]
[  3 251   5]
[  3 251   7]
[  3 252   0]
[  3 252   2]
[  3 252  10]
[  3 253   0]
[  3 253   5]
[  3 253   6]
[  3 253   8]
[  3 254   0]
[  3 254   1]
[  3 254   3]
[  3 255   0]
[  3 255   1]
[  3 255   2]
[  3 255   3]
[  3 255   4]
[  3 255   5]
[  3 255   6]
[  3 255   7]
[  3 255   8]
[  3 255   9]
[  3 255  10]
[4 0 0]
[4 0 1]
[4 0 2]
[4 0 3]
[4 0 4]
[4 0 5]
[4 0 6]
[4 0 7]
[4 0 8]
[ 4  0 10]
[4 1 8]
[4 2 3]
[4 2 5]
[4 2 7]
[4 3 0]
[4 3 1]
[4 3 8]
[4 4 2]
[4 4 4]
[4 4 6]
[4 5 0]
[4 5 7]
[4 5 9]
[4 6 5]
[  4 245   6]
[  4 246   1]
[  4 248  10]
[  4 249   4]
[  4 249   6]
[  4 249   8]
[  4 250   1]
[  4 250   3]
[  4 251   0]
[  4 251  10]
[  4 251  14]
[  4 252   5]
[  4 252   6]
[  4 252   8]
[  4 253   1]
[  4 253   3]
[  4 254   0]
[  4 254   6]
[  4 254   7]
[  4 254   9]
[  4 255   0]
[  4 255   1]
[  4 255   2]
[  4 255   3]
[  4 255   4]
[  4 255   5]
[  4 255   6]
[  4 255   7]
[  4 255   8]
[  4 255   9]
[  4 255  11]
[  4 255  12]
[5 0 0]
[5 0 1]
[5 0 3]
[5 0 4]
[5 0 5]
[5 0 6]
[5 0 7]
[5 0 8]
[5 0 9]
[5 1 0]
[5 1 2]
[5 2 9]
[5 3 4]
[5 3 6]
[5 3 8]
[5 4 0]
[5 4 2]
[ 5  4 10]
[5 5 3]
[5 5 7]
[5 6 1]
[ 5  6 10]
[  5 244   3]
[  5 246   9]
[  5 247   2]
[  5 247   5]
[  5 248   8]
[  5 248  10]
[  5 249   3]
[  5 249   4]
[  5 249  11]
[  5 249  13]
[  5 250   7]
[  5 250   9]
[  5 251   0]
[  5 251   4]
[  5 252   0]
[  5 253   6]
[  5 253   7]
[  5 253   9]
[  5 254   2]
[  5 254   4]
[  5 254  12]
[  5 255   0]
[  5 255   1]
[  5 255   2]
[  5 255   3]
[  5 255   5]
[  5 255   6]
[  5 255   7]
[  5 255   8]
[  5 255  10]
[  5 255  13]
[6 0 0]
[6 0 2]
[6 0 4]
[6 0 5]
[6 0 6]
[6 0 7]
[6 0 9]
[ 6  0 10]
[6 1 0]
[6 1 5]
[6 1 7]
[6 1 8]
[6 2 1]
[6 2 3]
[ 6  3 10]
[ 6  3 12]
[6 5 0]
[6 5 3]
[6 8 3]
[  6 247   8]
[  6 247  10]
[  6 247  12]
[  6 248   4]
[  6 248   6]
[  6 249   9]
[  6 249  11]
[  6 250   4]
[  6 250   5]
[  6 251   0]
[  6 251   6]
[  6 251   8]
[  6 251  10]
[  6 252   1]
[  6 252   3]
[  6 252   5]
[  6 253   0]
[  6 253  14]
[  6 254   7]
[  6 254   8]
[  6 254  10]
[  6 255   1]
[  6 255   2]
[  6 255   3]
[  6 255   4]
[  6 255   5]
[  6 255   6]
[  6 255   8]
[  6 255   9]
[  6 255  10]
[  6 255  15]
[7 0 0]
[7 0 1]
[7 0 3]
[7 0 4]
[7 0 8]
